NAME,year,state,place,age group,frequency
"Blacksburg town, Virginia",2011,Virginia,7784,Male|public college/graduate school|All,15854
"Blacksburg town, Virginia",2011,Virginia,7784,Male|public college/graduate school|15 - 17,155
"Blacksburg town, Virginia",2011,Virginia,7784,Male|public college/graduate school|18 - 24,13856
"Blacksburg town, Virginia",2011,Virginia,7784,Male|public college/graduate school|25 - 34,1488
"Blacksburg town, Virginia",2011,Virginia,7784,Male|public college/graduate school|>= 35,355
"Blacksburg town, Virginia",2011,Virginia,7784,Male|private college/graduate school|All,286
"Blacksburg town, Virginia",2011,Virginia,7784,Male|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2011,Virginia,7784,Male|private college/graduate school|18 - 24,206
"Blacksburg town, Virginia",2011,Virginia,7784,Male|private college/graduate school|25 - 34,61
"Blacksburg town, Virginia",2011,Virginia,7784,Male|private college/graduate school|>= 35,19
"Blacksburg town, Virginia",2011,Virginia,7784,Male|None|All,6390
"Blacksburg town, Virginia",2011,Virginia,7784,Male|None|15 - 17,343
"Blacksburg town, Virginia",2011,Virginia,7784,Male|None|18 - 24,582
"Blacksburg town, Virginia",2011,Virginia,7784,Male|None|25 - 34,1540
"Blacksburg town, Virginia",2011,Virginia,7784,Male|None|>= 35,3925
"Blacksburg town, Virginia",2011,Virginia,7784,Female|All|All,16852
"Blacksburg town, Virginia",2011,Virginia,7784,Female|public college/graduate school|All,10436
"Blacksburg town, Virginia",2011,Virginia,7784,Female|public college/graduate school|15 - 17,39
"Blacksburg town, Virginia",2011,Virginia,7784,Female|public college/graduate school|18 - 24,9415
"Blacksburg town, Virginia",2011,Virginia,7784,Female|public college/graduate school|25 - 34,814
"Blacksburg town, Virginia",2011,Virginia,7784,Female|public college/graduate school|>= 35,168
"Blacksburg town, Virginia",2011,Virginia,7784,Female|private college/graduate school|All,180
"Blacksburg town, Virginia",2011,Virginia,7784,Female|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2011,Virginia,7784,Female|private college/graduate school|18 - 24,131
"Blacksburg town, Virginia",2011,Virginia,7784,Female|private college/graduate school|25 - 34,26
